'Pair','TF','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ADA-USDT','15m','2021-06-12','2021-06-26','73','82.11','-3.87',216049410,'63','9.12','55816700.84','10','11',649,-103,'46','27','-23.58'
'ADA-USDT','15m','2021-06-13','2021-06-27','73','80.0','-3.87',162875149,'63','8.92','42079047.78','10','11',649,-103,'46','27','-22.52'
'ADA-USDT','15m','2021-06-10','2021-06-24','72','75.82','-3.87',91896586,'62','8.61','23731410.93','11','11',684,-80,'45','27','-27.79'
'ADA-USDT','15m','2021-06-14','2021-06-28','71','67.83','-3.47',29632681,'68','7.93','8532991.15','11','7',600,-103,'48','23','-23.9'
'ADA-USDT','15m','2021-06-20','2021-07-04','74','58.62','-6.27',7510169,'54','7.14','1198076.17','10','11',610,-98,'40','34','-8.03'
'ADA-USDT','15m','2021-08-25','2021-09-08','90','49.14','-5.28',1675994,'39','8.74','317439.61','7','15',1053,-77,'35','55','4.33'
'ADA-USDT','15m','2021-06-05','2021-06-19','87','43.18','-5.59',620470,'55','9.44','110925.37','12','11',645,-80,'48','39','-18.76'
'ADA-USDT','15m','2021-05-18','2021-06-01','52','40.02','-5.71',360672,'42','6.13','63143.86','9','10',662,-77,'22','30','-28.25'
'ADA-USDT','15m','2021-08-30','2021-09-13','90','38.44','-4.51',273449,'30','7.55','60632.38','7','15',1027,-90,'27','63','9.04'
'ADA-USDT','15m','2021-05-09','2021-05-23','57','38.07','-6.11',256222,'40','5.97','41963.87','6','10',745,-87,'23','34','-46.07'
'ADA-USDT','15m','2021-05-11','2021-05-25','48','36.16','-6.1',182666,'40','5.79','29950.37','6','10',734,-86,'19','29','-36.37'
'ADA-USDT','15m','2021-05-16','2021-05-30','47','35.23','-6.11',154491,'43','5.8','25277.87','6','10',720,-84,'20','27','-43.3'
'ADA-USDT','15m','2021-07-23','2021-08-06','84','29.45','-2.85',53340,'50','10.87','18716.32','10','8',550,-77,'42','42','34.4'
'ADA-USDT','15m','2021-08-03','2021-08-17','80','26.93','-2.17',33014,'57','11.03','15232.85','7','5',480,-72,'46','34','31.26'
'ADA-USDT','15m','2021-06-04','2021-06-18','92','31.79','-5.6',82518,'55','7.9','14744.73','10','11',657,-81,'51','41','-18.34'
'ADA-USDT','15m','2021-05-26','2021-06-09','70','31.75','-6.62',81980,'59','6.98','12391.06','9','6',490,-72,'41','29','-5.07'
'ADA-USDT','15m','2021-08-04','2021-08-18','80','25.71','-2.17',26075,'52','10.31','12042.34','7','5',485,-73,'42','38','26.15'
'ADA-USDT','15m','2021-05-30','2021-06-13','74','29.88','-6.62',57834,'55','6.57','8737.7','9','11',488,-82,'41','33','-1.74'
'ADA-USDT','15m','2021-05-30','2021-06-13','74','29.88','-6.62',57834,'55','6.57','8737.7','9','11',488,-82,'41','33','-1.74'
'ADA-USDT','15m','2021-05-15','2021-05-29','47','27.97','-6.1',40297,'36','4.85','6606.41','6','10',713,-83,'17','30','-43.5'
'ADA-USDT','15m','2021-08-23','2021-09-06','91','26.53','-5.28',30563,'40','9.58','5783.94','6','15',1073,-72,'36','55','20.59'
'ADA-USDT','15m','2021-07-19','2021-08-02','72','22.88','-2.73',14931,'47','9.4','5465.99','10','7',542,-73,'34','38','27.45'
'ADA-USDT','15m','2021-05-27','2021-06-10','79','25.22','-6.61',23711,'52','5.6','3586.1','9','10',493,-82,'41','38','-11.02'
'ADA-USDT','15m','2021-09-08','2021-09-22','61','20.59','-4.18',9423,'46','5.08','2252.74','8','7',296,-72,'28','33','-18.35'
'ADA-USDT','15m','2021-05-17','2021-05-31','40','22.64','-6.63',14234,'32','4.11','2146.96','4','12',655,-76,'13','27','-39.67'
'ADA-USDT','15m','2021-07-21','2021-08-04','80','18.45','-2.86',6053,'45','7.31','2114.43','10','8',538,-76,'36','44','43.22'
'ADA-USDT','15m','2021-08-22','2021-09-05','95','21.14','-5.28',10537,'39','7.88','1994.59','6','15',1070,-72,'37','58','16.76'
'ADA-USDT','15m','2021-09-11','2021-09-25','59','17.82','-4.72',5308,'44','4.42','1125.67','8','7',303,-74,'26','33','-10.9'
'ADA-USDT','15m','2021-08-21','2021-09-04','92','18.03','-5.29',5547,'40','6.81','1049.17','6','15',1066,-66,'37','55','10.96'
'ADA-USDT','15m','2021-05-23','2021-06-06','60','19.1','-6.61',6929,'60','5.59','1047.83','10','6',493,-70,'36','24','14.84'
'ADA-USDT','15m','2021-07-01','2021-07-15','69','13.7','-3.48',2175,'51','8.06','625.71','7','9',329,-67,'35','34','-9.97'
'ADA-USDT','15m','2021-07-02','2021-07-16','62','12.54','-3.48',1674,'47','7.51','480.61','6','9',322,-65,'29','33','-8.08'
'ADA-USDT','15m','2021-07-10','2021-07-24','61','10.37','-2.22',1004,'52','6.77','452.37','12','6',239,-68,'32','29','-11.21'
'ADA-USDT','15m','2021-03-18','2021-04-01','70','13.53','-6.5',2095,'37','4.36','322.16','6','8',356,-69,'26','44','14.38'
'ADA-USDT','15m','2021-07-07','2021-07-21','49','9.0','-3.02',714,'43','6.23','236.28','6','5',238,-63,'21','28','-29.04'
'ADA-USDT','15m','2021-04-15','2021-04-29','63','9.88','-6.04',890,'38','4.31','147.3','6','17',288,-68,'24','39','0.92'
'ADA-USDT','15m','2021-04-22','2021-05-06','76','9.88','-6.19',889,'41','4.37','143.69','6','14',299,-70,'31','45','25.36'
'ADA-USDT','15m','2021-07-03','2021-07-17','62','6.29','-3.55',341,'45','3.97','96.03','6','9',234,-62,'28','34','-14.42'
'ADA-USDT','15m','2021-04-29','2021-05-13','74','7.04','-6.34',423,'32','2.76','66.78','5','14',309,-62,'24','50','6.07'
'ADA-USDT','15m','2021-08-17','2021-08-31','74','5.14','-5.25',239,'42','2.54','45.43','6','7',256,-67,'31','43','-2.11'
'ADA-USDT','15m','2021-04-07','2021-04-21','67','2.48','-3.63',82,'31','1.73','22.5','3','7',206,-64,'21','46','10.75'
'ADA-USDT','15m','2021-05-02','2021-05-16','71','2.36','-5.38',77,'30','1.17','14.22','4','9',304,-65,'21','50','3.68'
'ADA-USDT','15m','2021-03-29','2021-04-12','64','0.75','-6.17',20,'31','0.65','3.23','3','8',277,-65,'20','44','34.22'
'ADA-USDT','15m','2021-05-01','2021-05-15','72','0.49','-5.66',13,'28','0.5','2.21','4','14',298,-64,'20','52','14.96'
'ADA-USDT','15m','2021-03-08','2021-03-22','73','-1.17','-9.58',-25,'32','-0.31','-2.6','3','12',332,-62,'23','50','12.58'
'ADA-USDT','15m','2021-04-27','2021-05-11','71','-1.28','-6.34',-27,'28','-0.47','-4.26','4','14',276,-62,'20','51','19.98'
'ADA-USDT','15m','2021-03-06','2021-03-20','85','-4.2','-9.54',-65,'31','-1.89','-6.8','4','14',180,-62,'26','59','20.19'
'ADA-USDT','15m','2021-04-08','2021-04-22','80','-2.15','-5.85',-41,'30','-0.96','-7.03','3','13',206,-64,'24','56','13.87'
'ADA-USDT','15m','2021-03-31','2021-04-14','71','-2.74','-6.16',-49,'27','-3.22','-7.97','3','8',265,-62,'19','52','34.31'
'ADA-USDT','15m','2021-03-04','2021-03-18','86','-8.43','-9.36',-88,'30','-4.94','-9.43','4','14',177,-62,'26','60','19.64'
